,season_teams_count,position_class_team_1,position_class_team_2,diff_points_class,team_1_xg90_performance,team_2_xg90_performance,team_1_xga90_performance,team_2_xga90_performance,team_1_tsr_avg,team_2_tsr_avg,team1_all_classic_xgsh,team1_all_classic_xgash,team1_all_classic_gdxgd,team1_all_classic_wins,team1_all_classic_draw,team1_all_classic_defeat,team1_all_xg90_draw_xgxga,team1_all_xg90_zero_xgxga,team1_all_xg90_com_xgxga,team2_all_classic_xgd,team2_all_classic_gdxgd,team2_all_classic_xp,team2_all_classic_minutes,team2_all_xg90_draw_xga90,team2_all_xg90_draw_xgxga,team2_all_xg90_cxp_xg90,team2_all_xg90_cop_xg90,team2_all_five_draw_xg90,team_1_points_difference4,team_2_points_difference4,team_1_xg90_performance_diff4,team_2_xg90_performance_diff4,team_1_xga90_performance_diff4,team_2_xga90_performance_diff4,team_1_lucky_l4,team_2_lucky_l4,odds_open_win1,odds_open_draw,odds_open_win2,odds_open_tm25,odds_open_tb25,odds_close_win1,odds_close_draw,odds_close_win2,odds_close_tm25,odds_close_tb25,result_output
,14,G,F,A2,921.286,8.274.125,19.254.267,92.117.095,4.583.766,43.997.807,0.1,0.1,-8.5,1,3,5,0.97,0.95,0.52,-2.7,1.7,0,872,0.78,0.59,0.96,0.78,0.43,-25.000.004,25,44.855.595,-73.690.586,25.694.317,23.078.815,9.204.823,816.422,2.5,3.22,2.99,1.609,2.34,2.82,2.91,2.9,1.465,2.74,1
,14,D,G,C1,10.465.002,7.102.672,1.047.165,14.062.308,47.997.128,4.279.651,0.11,0.13,1.4,4,1,4,0.7,0.36,1.14,-8.9,1.9,0,890,1.64,0.33,0,0.1,0.68,-48.076.923,-25.000.004,-17.072.025,78.217.945,2.246.436,20.148.981,-568.922,10.572.004,1.429,4.44,7.92,1.84,1.917,1.375,4.55,9.58,1.757,2.09,1
,14,A,C,B1,17.886.145,11.149.743,41.127.306,8.009.423,6.897.376,60.094.143,0.11,0.11,3.6,7,0,2,2.4,2.4,2.68,3.6,-0.6,0,902,0.29,3.98,0,0.76,1,28.571.432,-296.875,4.535.528,8.824.856,-34.537.228,56.470.592,-5.764.085,71.719.944,1.925,3.39,4.31,1.694,2.19,1.574,3.77,6.64,1.689,2.19,2
,14,H,D,C2,41.980.034,11.442.307,13.602.903,11.574.998,3.799.971,4.716.851,0.07,0.11,-1.4,0,3,6,0.47,0.54,0.5,-1.6,1.6,0,869,1.21,0.66,1.79,4.87,0.83,-25.000.004,-38.636.364,-1.710.527,-24.579.828,-108.501.114,66.106.155,34.268.945,-13.882.715,2.67,3.37,2.69,1.675,2.22,3.01,2.94,2.69,1.515,2.58,1
,14,B,F,C1,14.386.292,3.042.265,7.446.788,81.872.714,655.885,43.822.033,0.15,0.08,-6,5,2,2,3.17,4.49,77.2,0.3,-5.3,0,876,0.78,1.23,0,0.7,0.89,19.117.651,40.625,31.803.137,-65.203.114,-4.172.748,-4.043.022,-49.849.045,80.565.023,1.18,7.15,16.47,2.09,1.757,1.196,6.53,15.32,2.17,1.689,1
,14,B,A,C2,16.764.357,15.416.113,8.326.277,20.749.603,5.306.423,6.839.528,0.11,0.1,6.8,6,2,1,1.41,1.84,8.06,11.3,1.7,0,874,0.51,2.28,0.86,0.89,1.6,34.999.992,0,4.638.832,-3.571.435,-19.230.629,-11.856.273,-18.649.155,-2.593.758,3.94,3.51,1.97,1.74,2.12,4.75,3.41,1.84,1.613,2.34,1
,14,H,E,C2,7.405.636,12.803.261,20.051.103,12.814.614,4.254.956,31.715.157,0.08,0.16,-0.7,0,3,6,0.62,0.58,0.32,-3.8,3.8,0,855,0.74,0.79,0.54,1.22,0.76,49.999.996,-18.181.818,44.346.725,31.847.124,11.851.974,-47.236.023,16.612.005,-50.629.914,2.26,3.33,3.33,1.729,2.13,2.02,3.27,4.07,1.662,2.25,2
,20,F,E,A2,84.302.676,7.550.122,13.391.744,15.012.273,3.268.907,6.652.411,0.12,0.09,-1,2,4,4,0.58,0.68,2.41,2.2,-10.2,0,953,0.68,1.7,0.2,0.74,1.05,75,59.090.908,7.180.569,-47.495.052,28.358.904,-40.260.513,1.675.348,5.603.286,,,,,,,,,,,1
,20,E,D,A2,85.069.925,15.000.672,13.257.734,10.368.026,3.738.537,43.949.802,0.11,0.13,1.2,4,1,5,0.39,0.42,0.83,3,2,0,956,1.12,0.8,0.9,0.87,0.7,34.615.387,7.142.859,-16.769.413,38.252.132,-4.951.952,12.019.285,20.893.726,-11.529.732,,,,,,,,,,,1
,20,G,F,A2,9.356.891,8.521.196,14.003.139,13.284.296,4.877.855,45.674.793,0.12,0.09,-6.7,1,6,3,0.71,0.82,0.95,-0.5,-4.5,0,945,1.09,0.73,0,0.15,0.71,111.111.145,-7.727.273,-14.652.568,-11.545.212,10.916.775,28.270.567,34.185.696,-48.464.984,,,,,,,,,,,2
